DEPTH,DENSITY,DENPOR,GAMMA,NEUTRON,INDEX
m,g/m3,%,API,API,Rock types
3067.5,2.77,9.52,12.41,465.54,Basalt
3068,2.75,10.5,12.06,467.75,Basalt
3068.5,2.73,11.05,10.96,473.38,Basalt
3069,2.75,10.1,9.87,479.52,Basalt
3069.5,2.79,8.12,9.26,487.27,Basalt
3070,2.83,6.37,9.13,499.6,Basalt
3070.5,2.85,5.16,9.28,517.49,Basalt
3071,2.88,3.77,9.4,536.79,Basalt
3071.5,2.91,1.87,9.38,555.34,Basalt
3072,2.95,0.21,9.41,571.95,Basalt
3072.5,2.95,0.01,9.67,586.36,Basalt
3073,2.93,1.02,10.05,597.66,Basalt
3073.5,2.91,2.07,10.12,608.04,Basalt
3074,2.92,1.82,9.48,623.78,Basalt
3074.5,2.95,0.28,8.69,648.13,Basalt
3077,2.92,1.35,13.16,913.82,Basalt
3077.5,2.86,4.87,13.65,922.42,Basalt
3078,2.77,9.27,13.34,885.32,Basalt
3078.5,2.68,14.1,12.05,823.42,Basalt
3079,2.59,18.26,9.86,762.1,Basalt
3079.5,2.54,20.69,7.82,715.02,Basalt
3080,2.54,20.77,6.9,686.61,Basalt
3080.5,2.59,18.67,7.34,672.06,Basalt
3081,2.65,15.6,8.26,662.64,Basalt
3081.5,2.69,13.39,8.94,649.31,Basalt
3082,2.7,13.07,9.41,627.17,Basalt
3082.5,2.67,14.04,10.31,593.83,Basalt
3083,2.65,15.33,11.39,549.1,Basalt
3083.5,2.63,16.53,12.22,499.28,Basalt
3084,2.61,17.28,12.13,456.84,Basalt
3084.5,2.61,17.13,11.48,432.72,Basalt
3085,2.63,16.34,10.39,430.48,Basalt
3085.5,2.64,15.85,9.36,448.61,Basalt
3086,2.63,16.44,8.57,480.49,Basalt
3086.5,2.61,17.73,8.23,513.31,Basalt
3087,2.59,18.6,8.28,529.26,Basalt
3087.5,2.6,18.24,8.57,522.71,Basalt
3088,2.63,16.47,8.86,502.34,Basalt
3088.5,2.68,14.06,9.04,482.21,Basalt
3089,2.71,12.06,9.06,469.03,Basalt
3089.5,2.73,11.48,9.39,461.39,Basalt
3090,2.72,11.95,9.97,460.16,Basalt
3090.5,2.71,12.36,10.62,466.33,Basalt
3091,2.72,11.85,10.86,478.46,Basalt
3091.5,2.74,10.91,10.87,491.18,Basalt
3092,2.74,10.6,11.1,500.65,Basalt
3092.5,2.73,11.21,11.52,509.06,Basalt
3093,2.72,11.98,11.97,520.22,Basalt
3093.5,2.71,12.21,12.07,534.73,Basalt
3094,2.72,11.87,12.08,548.63,Basalt
3094.5,2.73,11.51,12.17,557.14,Basalt
3095,2.73,11.31,12.46,560.34,Basalt
3095.5,2.73,11.49,12.62,562.85,Basalt
3096,2.72,11.64,12.14,569.17,Basalt
3096.5,2.72,11.64,10.92,577.23,Basalt
3097,2.73,11.28,9.78,582.4,Basalt
3097.5,2.73,11.1,9.27,584.4,Basalt
3098,2.73,11.44,9.49,586.24,Basalt
3098.5,2.72,12.08,9.6,589.51,Basalt
3099,2.71,12.25,9.34,594.84,Basalt
3099.5,2.72,11.57,8.99,605.06,Basalt
3100,2.75,10.38,8.82,621.4,Basalt
3100.5,2.77,9.1,8.88,637.4,Basalt
3101,2.8,7.68,8.67,647.07,Basalt
3101.5,2.84,5.42,8.23,650.48,Basalt
3102,2.9,2.24,7.89,653.01,Basalt
3109,2.94,0.38,12.76,958.69,Basalt
3109.5,2.89,2.95,13.42,942.36,Basalt
3110,2.86,4.92,13.62,924.85,Basalt
3110.5,2.84,5.55,13.74,909.96,Basalt
3111,2.86,4.53,13.96,887.56,Basalt
3111.5,2.91,2.3,13.62,850.95,Basalt
3114,2.95,0.14,9.91,723.75,Basalt
3114.5,2.88,3.94,10.28,728.07,Basalt
3115,2.82,6.69,9.6,741.79,Basalt
3115.5,2.81,7.18,8.63,760.78,Basalt
3116,2.84,5.45,8.14,777.74,Basalt
3116.5,2.89,3.14,8.15,788.56,Basalt
3117,2.91,1.88,8.04,793.61,Basalt
3117.5,2.9,2.31,7.83,794.89,Basalt
3118,2.87,3.84,7.66,789.64,Basalt
3118.5,2.82,6.72,7.78,773.42,Basalt
3119,2.73,11.58,7.93,747.93,Basalt
3119.5,2.62,17.18,8.11,722.75,Basalt
3120,2.54,21,8.33,707.15,Basalt
3120.5,2.54,21.26,8.79,703.33,Basalt
3121,2.59,18.17,9.38,707.73,Basalt
3121.5,2.7,12.94,10.35,714.95,Basalt
3122,2.79,8.17,11.6,718.04,Basalt
3122.5,2.84,5.81,12.99,707.46,Basalt
3123,2.84,5.65,13.94,676.11,Basalt
3123.5,2.83,5.82,14.43,626.1,Basalt
3124,2.85,5.07,14.54,572.14,Basalt
3124.5,2.89,3.03,14.48,531.26,Basalt
3125,2.94,0.61,13.95,513.09,Basalt
3129,2.93,0.9,10.06,582.94,Basalt
3129.5,2.91,2.25,10.31,583.76,Basalt
3130,2.87,3.8,9.81,590.75,Basalt
3130.5,2.86,4.58,8.54,605.23,Basalt
3131,2.87,4.13,7.22,620.3,Basalt
