DEPTH,DENSITY,DENPOR,GAMMA,NEUTRON,INDEX
m,g/m3,%,API,API,Rock types
1578.5,2.94,0.65,11,599.55,Basalt
1582,2.9,2.45,10.74,595.92,Basalt
1582.5,2.84,5.7,10.54,578.88,Basalt
1583,2.78,8.92,10.16,572.54,Basalt
1583.5,2.71,12.22,9.81,574.36,Basalt
1584,2.66,14.8,9.45,579.98,Basalt
1584.5,2.64,15.82,9.11,584.94,Basalt
1585,2.66,14.96,8.79,587.72,Basalt
1585.5,2.7,12.75,8.7,589.67,Basalt
1586,2.75,10.35,9.1,588.84,Basalt
1586.5,2.77,9.37,9.87,582.68,Basalt
1587,2.74,10.55,10.66,567.04,Basalt
1587.5,2.69,13.48,10.89,541.77,Basalt
1588,2.62,16.74,10.78,505.59,Basalt
1588.5,2.58,19.03,10.83,458.11,Basalt
1589,2.57,19.69,11.48,404.95,Basalt
1589.5,2.59,18.66,12.4,361.07,Claystone
1590,2.62,16.83,12.95,341.02,Claystone
1590.5,2.66,14.9,13.04,350.42,Basalt
1591,2.69,13.33,12.91,385.93,Basalt
1591.5,2.72,11.76,12.72,440.79,Basalt
1592,2.76,9.55,12.31,501.41,Basalt
1592.5,2.83,6.07,11.56,544.08,Basalt
1593,2.92,1.61,10.85,546.17,Basalt
1595.5,2.93,1.01,8.09,323.45,Basalt
1596,2.88,3.74,8.24,313.98,Basalt
1596.5,2.84,5.67,8.84,316.04,Basalt
1597,2.82,6.57,9.68,325.66,Basalt
1597.5,2.82,6.67,10.81,337.45,Basalt
1598,2.82,6.51,12.11,347.78,Basalt
1598.5,2.81,6.97,12.99,360.37,Basalt
1599,2.77,9.18,13.27,381.88,Basalt
1599.5,2.71,12.45,13.07,414.53,Basalt
1600,2.66,14.84,13.15,454.62,Basalt
1600.5,2.66,14.94,13.32,494.17,Basalt
1601,2.69,13.43,13.28,525.32,Basalt
1601.5,2.72,11.72,12.97,539.61,Basalt
1602,2.73,11.4,12.68,536.68,Basalt
1602.5,2.7,12.66,12.7,527.71,Basalt
1603,2.66,14.72,12.75,526.93,Basalt
1603.5,2.63,16.3,12.62,535.79,Basalt
1604,2.62,16.82,12.24,540.94,Basalt
1604.5,2.64,16.14,11.95,526.93,Basalt
1605,2.67,14.45,12.17,490.46,Basalt
1605.5,2.71,12.32,12.65,440.53,Basalt
1606,2.75,10.49,12.95,391.09,Basalt
1606.5,2.77,9.41,12.63,354.59,Basalt
1607,2.78,8.69,12.29,336.18,Basalt
1607.5,2.8,7.63,12.05,335.63,Basalt
1608,2.83,6.02,11.82,345.51,Basalt
1608.5,2.87,4.19,11.45,357.1,Basalt
1609,2.89,2.91,11.38,363.32,Basalt
1609.5,2.89,2.91,11.97,363.65,Basalt
1610,2.88,3.52,12.82,360.82,Basalt
1610.5,2.88,3.58,13.4,358.24,Basalt
1611,2.91,1.87,13.59,358.18,Basalt
1613.5,2.92,1.38,10.82,430.72,Basalt
1614,2.9,2.48,11.06,442.29,Basalt
1614.5,2.9,2.47,11.29,450.14,Basalt
1615,2.89,3.13,11.29,455.48,Basalt
1615.5,2.85,5.24,11.52,457.08,Basalt
1616,2.8,7.74,12.33,455.6,Basalt
1616.5,2.77,9.19,13.04,456.13,Basalt
1617,2.78,8.78,13.18,463.4,Basalt
1617.5,2.82,6.57,12.66,475.3,Basalt
1618,2.9,2.77,12.1,483.85,Basalt
1622.5,2.91,1.68,11.55,433.53,Basalt
1623,2.72,11.44,11.84,408.89,Basalt
1623.5,2.57,19.27,12.36,399.93,Basalt
1624,2.5,22.86,12.94,405.86,Basalt
1624.5,2.53,21.55,13.02,425.85,Basalt
1625,2.64,16.07,12.48,459.49,Basalt
1625.5,2.79,8.09,11.5,500.46,Basalt
1626,2.94,0.61,10.81,535.85,Basalt
1629,2.91,2.04,19.83,446.95,Basalt
1629.5,2.87,3.9,24.94,402.52,Basalt
1630,2.85,5.07,27.15,367.55,Basalt
1630.5,2.83,5.98,24.93,355.14,Basalt
1631,2.82,6.61,19.84,370.64,Basalt
1631.5,2.83,6.39,14.59,410.43,Basalt
1632,2.85,5,11.21,463.7,Basalt
1632.5,2.91,2.31,9.81,515.38,Basalt
1636.5,2.91,2.06,11.62,586.21,Basalt
1637,2.83,6.17,11.76,568.5,Basalt
1637.5,2.81,7.26,11.49,555.57,Basalt
1638,2.86,4.4,11.14,550.31,Basalt
1646,2.93,0.88,12.34,675.58,Basalt
1646.5,2.92,1.78,11.47,690.86,Basalt
1647,2.92,1.53,11.27,678.33,Basalt
1647.5,2.95,0.07,11.62,651.78,Basalt
1650.5,2.94,0.43,11.58,624.74,Basalt
1651,2.83,5.85,11.39,628.88,Basalt
1651.5,2.72,11.77,11.49,629.26,Basalt
1652,2.63,16.27,11.81,629.39,Basalt
1652.5,2.58,19.1,11.92,631.02,Basalt
1653,2.54,21.14,11.42,632.37,Basalt
1653.5,2.49,23.66,10.79,631.74,Basalt
1654,2.43,26.55,10.76,629.44,Basalt
1654.5,2.38,29.07,11.57,626.92,Basalt
1655,2.35,30.77,12.66,622.13,Basalt
1655.5,2.34,31.44,13.42,610.31,Basalt
1656,2.35,31.12,13.96,585.31,Basalt
1656.5,2.37,29.71,15.76,542.38,Basalt
1657,2.41,27.87,20.11,482.7,Basalt
1657.5,2.43,26.57,27.06,417.56,Basalt
1658,2.43,26.58,34.42,363.05,Basalt
1658.5,2.41,27.63,39.22,327.46,Basalt
1659,2.38,29.32,40.97,307.2,Basalt
1659.5,2.34,31.26,41.25,295.25,Basalt
1660,2.3,33.05,42.65,289.32,Basalt
1660.5,2.29,33.87,45.41,287.39,Claystone
1661,2.29,33.58,48.7,286.33,Claystone
1661.5,2.31,32.9,51.33,282.9,Claystone
1662,2.31,32.59,52.58,279.95,Claystone
1662.5,2.31,32.9,51.88,284.13,Claystone
1663,2.3,33.09,49.85,297.74,Claystone
1663.5,2.31,32.99,47.97,315.22,Claystone
1664,2.31,32.78,48.16,324.67,Claystone
1664.5,2.31,32.98,50.64,320.43,Claystone
1665,2.29,33.63,54.55,308.31,Claystone
1665.5,2.28,34.34,58.39,298.48,Claystone
1666,2.27,34.7,61,295.42,Claystone
1666.5,2.28,34.5,62.01,293.9,Claystone
1667,2.29,33.89,61.45,289.48,Claystone
1667.5,2.31,33.05,60.34,281.95,Claystone
1668,2.32,32.17,59.3,275.03,Claystone
1668.5,2.34,31.28,59.36,269.96,Claystone
1669,2.36,30.35,60.53,266.02,Claystone
1669.5,2.38,29.27,62.57,263.36,Claystone
1670,2.4,28,63.59,263.66,Claystone
1670.5,2.43,26.75,62.62,269.35,Claystone
1671,2.45,25.6,60,279.59,Claystone
1671.5,2.47,24.44,57.16,290.21,Claystone
1672,2.5,23.11,54.62,296.89,Claystone
1672.5,2.51,22.34,51.54,300.37,Claystone
1673,2.51,22.78,47.85,304.71,Claystone
1673.5,2.48,24.36,44.36,313.52,Claystone
1674,2.45,25.91,42.02,324.79,Claystone
1674.5,2.43,26.73,40.96,333.25,Claystone
1675,2.43,26.68,40.51,335.58,Claystone
1675.5,2.45,25.96,40.16,331.81,Claystone
1676,2.46,25.08,39.53,326.59,Claystone
1676.5,2.47,24.53,38.22,322.29,Claystone
1677,2.47,24.54,36.71,318.61,Claystone
1677.5,2.47,24.67,35.91,313.68,Claystone
1678,2.47,24.66,36.43,306.39,Claystone
1678.5,2.47,24.88,37.49,298.79,Claystone
1679,2.44,26.18,38.38,292.41,Claystone
1679.5,2.39,28.81,40.21,288.7,Claystone
1680,2.33,31.89,43.86,287.84,Claystone
1680.5,2.28,34.39,48.34,290.05,Claystone
1681,2.25,35.93,50.91,297.79,Claystone
1681.5,2.23,37.04,50.2,311.2,Claystone
1682,2.21,38.14,47.29,328.88,Claystone
1682.5,2.19,39.25,44.09,346.16,Claystone
1683,2.18,39.69,42,360.64,Claystone
1683.5,2.18,39.24,41.05,369.83,Claystone
1684,2.2,38.21,40.7,371.42,Claystone
1684.5,2.23,37.11,40.98,363.65,Claystone
1685,2.25,36.05,42.28,346.2,Claystone
1685.5,2.27,34.98,45,322.51,Claystone
1686,2.29,34.08,48.26,296.77,Claystone
1686.5,2.3,33.22,51.53,276.2,Claystone
1687,2.33,32,54.44,263.62,Claystone
1687.5,2.37,29.96,56.95,258.67,Claystone
1688,2.43,26.9,57.93,256.32,Claystone
1688.5,2.5,23.07,57.49,253.14,Claystone
1689,2.58,18.77,56.52,248.8,Claystone
1689.5,2.66,14.92,56.62,245.64,Claystone
1690,2.71,12.48,58.07,244.69,Claystone
1690.5,2.72,11.91,60.5,246.49,Claystone
1691,2.71,12.47,62.91,251.28,Claystone
1691.5,2.7,12.77,64.54,260.05,Claystone
1692,2.72,11.77,65.04,270.3,Claystone
1692.5,2.77,9.28,65.48,279.84,Claystone
1693,2.82,6.63,65.1,287.73,Claystone
1693.5,2.83,5.92,62.1,295.12,Claystone
1694,2.81,7.17,53.52,301.14,Claystone
1694.5,2.79,8.13,40.18,305.22,Claystone
1695,2.81,6.83,25.89,310.57,Claystone
1695.5,2.88,3.59,15.32,320.73,Claystone
1701.5,2.92,1.56,8.51,423.01,Basalt
1702,2.78,8.53,8.56,460.86,Basalt
1702.5,2.65,15.17,8.2,506.51,Basalt
1703,2.57,19.57,7.51,557.12,Basalt
1703.5,2.53,21.55,7.13,607.5,Basalt
1704,2.53,21.57,7.2,648.6,Basalt
1704.5,2.56,20.06,7.84,668.08,Basalt
1705,2.6,17.94,8.96,661.06,Basalt
1705.5,2.64,16.13,10.12,636.67,Basalt
1706,2.66,15.05,10.66,611.24,Basalt
1706.5,2.67,14.31,10.16,594.5,Basalt
1707,2.69,13.2,9.48,580.67,Basalt
1707.5,2.74,10.98,9.27,555.05,Basalt
1708,2.8,7.51,10.03,506.32,Basalt
1708.5,2.88,3.59,11.45,439.6,Basalt
1709,2.93,0.92,13.23,375.05,Basalt
1709.5,2.95,0.1,14.08,332.86,Basalt
1710,2.93,0.87,12.85,316.35,Basalt
1710.5,2.89,2.81,9.9,313.38,Basalt
1711,2.84,5.65,7.35,311.35,Sandstone
1711.5,2.78,8.66,6.71,307.37,Sandstone
1712,2.75,10.39,7.55,304.95,Sandstone
1712.5,2.74,10.55,8.34,306.75,Sandstone
1713,2.77,9.53,8.35,314.79,Basalt
1713.5,2.79,8.16,7.83,332.05,Basalt
1714,2.82,6.7,7.57,361.56,Basalt
1714.5,2.85,5.03,7.64,400.83,Basalt
1715,2.88,3.47,7.93,440.67,Basalt
1715.5,2.9,2.61,8.04,470.68,Basalt
1716,2.9,2.71,8.12,485.02,Basalt
1716.5,2.89,3.06,8.14,483.87,Basalt
1717,2.89,2.96,8.01,466.64,Basalt
1717.5,2.91,2.05,7.78,434.32,Basalt
1718,2.93,0.77,7.51,394.87,Basalt
1723,2.92,1.34,10.31,446.12,Basalt
1723.5,2.84,5.89,9.3,452.64,Basalt
1724,2.71,12.56,8.24,461.54,Basalt
1724.5,2.58,19.06,7.78,477.47,Basalt
1725,2.48,24.45,8.27,500.7,Basalt
1725.5,2.39,28.53,9.24,524.89,Basalt
1726,2.35,30.86,9.84,545.53,Basalt
1726.5,2.34,31.16,9.78,561.32,Basalt
1727,2.36,30.23,9.44,571.42,Basalt
1727.5,2.37,29.68,9.26,571.82,Basalt
1728,2.36,30.08,9.29,561.97,Basalt
1728.5,2.34,31.05,9.16,543.52,Basalt
1729,2.33,31.86,8.84,512.92,Basalt
1729.5,2.32,32.33,8.44,466.52,Basalt
1730,2.32,32.45,8.43,409.35,Basalt
1730.5,2.32,32.19,9.22,357.89,Basalt
1731,2.33,31.58,11.9,321.75,Basalt
1731.5,2.35,30.69,17.86,300.44,Basalt
1732,2.37,29.61,27.31,290.56,Basalt
1732.5,2.39,28.56,38.3,292.51,Basalt
1733,2.41,27.96,47.16,301.43,Basalt
1733.5,2.4,27.95,52.27,306.84,Basalt
1734,2.4,28.3,53.69,301.84,Sandstone
1734.5,2.39,28.38,53.55,290.17,Sandstone
1735,2.39,28.55,52.72,279.55,Claystone
1735.5,2.38,29.46,52.18,273.4,Claystone
1736,2.34,31.17,51.72,272.65,Claystone
1736.5,2.31,32.92,51.63,275.68,Claystone
1737,2.28,34.16,51.85,280.74,Claystone
1737.5,2.27,35.01,52.74,283.82,Claystone
1738,2.25,35.74,53.82,283.33,Claystone
1738.5,2.24,36.37,55.11,278.88,Claystone
1739,2.23,37.01,56.46,272.9,Claystone
1739.5,2.22,37.65,58.28,269.35,Claystone
1740,2.21,38.16,60.14,271.77,Claystone
1740.5,2.2,38.37,61.87,278.24,Claystone
1741,2.21,38.04,64.34,282.21,Claystone
1741.5,2.23,37.13,68.85,279.22,Claystone
1742,2.25,35.87,74.92,271.46,Claystone
1742.5,2.27,35.06,80.05,263.2,Claystone
1743,2.27,34.92,81.62,257.05,Claystone
1743.5,2.27,35.09,79.51,253.42,Claystone
1744,2.26,35.22,75.16,252.89,Claystone
1744.5,2.26,35.59,70.2,254.54,Claystone
1745,2.24,36.52,65.63,256.34,Claystone
1745.5,2.22,37.64,61.79,256.58,Claystone
1746,2.2,38.36,58.75,254.81,Claystone
1746.5,2.2,38.21,56.17,252.26,Claystone
1747,2.22,37.33,53.39,250.21,Claystone
1747.5,2.24,36.6,51.03,249.61,Claystone
1748,2.23,36.82,49.23,248.08,Claystone
1748.5,2.21,37.78,48.5,243.43,Claystone
1749,2.19,38.74,47.77,237.08,Claystone
1749.5,2.18,39.36,46.89,233.04,Claystone
1750,2.17,39.78,46.12,233.94,Claystone
1750.5,2.17,40.12,45.29,237.45,Claystone
1751,2.17,40.23,43.78,241.73,Claystone
1751.5,2.16,40.16,41.32,245.77,Claystone
1752,2.18,39.72,39.56,249.12,Claystone
1752.5,2.19,38.91,40.12,250.92,Claystone
1753,2.21,37.89,43.07,250.89,Claystone
1753.5,2.21,37.78,47.27,250.77,Claystone
1754,2.19,39.09,50.63,251.6,Claystone
1754.5,2.15,40.95,52.54,252.65,Claystone
1755,2.13,42,52.87,252.96,Claystone
1755.5,2.13,41.9,52.32,251.45,Claystone
1756,2.14,41.47,50.57,248.82,Claystone
1756.5,2.14,41.63,47.36,246.09,Claystone
1757,2.12,42.63,43.06,244.7,Claystone
1757.5,2.1,43.77,38.37,247.22,Claystone
1758,2.09,44.21,34.02,252.95,Claystone
1758.5,2.1,43.49,30.52,259,Claystone
1759,2.13,42.02,28.85,260.79,Claystone
1759.5,2.16,40.52,28.86,258.72,Claystone
1760,2.18,39.43,30.24,257.39,Claystone
1760.5,2.2,38.42,31.93,259.01,Claystone
1761,2.22,37.28,33.67,261.82,Claystone
1761.5,2.24,36.27,35.69,262.85,Claystone
1762,2.26,35.53,37.77,262.19,Claystone
1762.5,2.27,34.73,40.15,261.3,Claystone
1763,2.3,33.5,41.82,259.68,Claystone
1763.5,2.33,32.13,42.61,256.91,Claystone
1764,2.34,31.49,42.68,253.45,Claystone
1764.5,2.32,32.27,43.21,251.23,Claystone
1765,2.29,33.94,45.42,251.74,Claystone
1765.5,2.26,35.49,48.62,254.75,Claystone
1766,2.24,36.25,51.04,258.3,Claystone
1766.5,2.24,36.44,51.04,260.38,Claystone
1767,2.24,36.47,48.87,260.77,Claystone
1767.5,2.23,36.65,46.19,261.23,Claystone
1768,2.22,37.23,44.31,261.71,Claystone
1768.5,2.21,38.13,44.19,262.02,Claystone
1769,2.18,39.31,45.2,263.2,Claystone
1769.5,2.17,40.24,46.61,267.01,Claystone
1770,2.15,40.83,47.42,273.72,Claystone
1770.5,2.16,40.76,47.88,279.99,Claystone
1771,2.17,40.08,48.06,283.98,Claystone
1771.5,2.2,38.69,47.81,285.01,Claystone
1772,2.24,36.39,46.88,284.17,Claystone
1772.5,2.3,33.06,46.05,282.03,Claystone
1773,2.38,28.94,45.98,279.02,Claystone
1773.5,2.45,25.77,46.68,276.28,Claystone
1774,2.47,24.89,47.41,274.18,Claystone
1774.5,2.44,26.14,47.6,270.94,Claystone
1775,2.41,27.71,47.22,263.84,Claystone
1775.5,2.39,28.72,46.73,252.83,Claystone
1776,2.38,29.02,47.1,241.06,Claystone
1776.5,2.38,28.95,48.44,233.07,Claystone
1777,2.38,29.2,50.08,230.42,Claystone
1777.5,2.36,30.2,50.97,232.69,Claystone
1778,2.34,31.46,50.12,237.52,Claystone
1778.5,2.33,31.81,47.94,242.84,Claystone
1779,2.34,31.04,45.26,248.16,Claystone
1779.5,2.37,29.9,43.99,252.96,Claystone
1780,2.38,29.22,44.78,258.27,Claystone
1780.5,2.39,28.96,46.88,265.37,Claystone
1781,2.39,28.74,49.04,275.22,Claystone
1781.5,2.39,28.66,50.17,286.19,Claystone
1782,2.39,28.91,49.98,293.74,Claystone
1782.5,2.37,29.39,48.84,294.44,Claystone
1783,2.37,29.58,47.55,288.35,Claystone
1783.5,2.37,29.56,47.36,279.1,Claystone
1784,2.37,29.68,48.22,271.33,Claystone
1784.5,2.36,30.1,50.23,266.73,Claystone
1785,2.36,30.29,52.26,264.13,Claystone
1785.5,2.36,30.15,54.14,261.75,Claystone
1786,2.37,29.98,55.24,259.44,Claystone
1786.5,2.36,30.21,55.8,258.28,Claystone
1787,2.36,30.39,55.71,258.2,Claystone
1787.5,2.37,30.01,55.62,258.36,Claystone
1788,2.39,28.8,56.46,257.79,Claystone
1788.5,2.43,26.98,59.18,256.94,Claystone
1789,2.46,25.17,62.98,256.97,Claystone
1789.5,2.47,24.37,66.34,258.65,Claystone
1790,2.46,25.05,68.13,262.09,Claystone
1790.5,2.43,26.56,68.46,265.38,Claystone
1791,2.41,27.44,68.17,267.98,Claystone
1791.5,2.42,27.25,67.14,269.95,Claystone
1792,2.44,25.98,65.12,274.05,Claystone
1792.5,2.49,23.85,61.47,281.4,Claystone
1793,2.55,20.45,57.07,290.91,Claystone
1793.5,2.64,15.75,53.6,300.04,Claystone
1794,2.75,10.28,52.1,306.4,Claystone
1794.5,2.86,5.02,52.5,309.88,Claystone
1800,2.91,1.65,28.16,247.01,Claystone
1800.5,2.91,1.76,22.3,262.19,Claystone
1809.5,2.9,2.58,10.49,343.28,Basalt
1810,2.81,7.02,10.52,331.24,Basalt
1810.5,2.82,6.81,10.74,329.36,Basalt
1811,2.92,1.43,11.16,337.87,Basalt
1817.5,2.93,1.13,10.29,446.88,Basalt
1818,2.77,9.52,10.06,486.54,Basalt
1818.5,2.66,15,9.95,503.41,Basalt
1819,2.62,17.04,9.48,503.56,Basalt
1819.5,2.63,16.22,8.57,498.01,Basalt
1820,2.69,13.51,7.89,493.92,Basalt
1820.5,2.74,10.82,7.85,492.29,Basalt
1821,2.75,10.37,8.49,492.15,Basalt
1821.5,2.7,12.59,9.7,491.88,Basalt
1822,2.65,15.47,10.9,488.44,Basalt
1822.5,2.64,16.21,11.66,473.74,Basalt
1823,2.68,13.78,11.98,445.04,Basalt
1823.5,2.77,9.02,12.22,416.27,Basalt
1824,2.86,4.4,12.81,409.06,Basalt
1824.5,2.91,2.02,13.71,431.16,Basalt
1825,2.89,2.87,15.04,471.11,Basalt
1825.5,2.8,7.67,16.43,513.8,Basalt
1826,2.59,18.71,17.51,552.1,Basalt
1826.5,2.27,35.17,17.93,581.68,Basalt
1827,2.01,48.23,17.75,595.55,Basalt
1827.5,1.9,54.06,17.31,587.26,Basalt
1828,1.9,53.81,16.95,561.21,Basalt
1828.5,1.97,50.02,16.92,536.08,Basalt
1829,2.05,46.26,17.13,538.31,Basalt
1829.5,2.08,44.44,17.37,581.15,Basalt
1830,2.1,43.38,17.62,652.18,Basalt
1830.5,2.15,41.18,17.77,718.35,Basalt
1831,2.2,38.61,18.12,747.59,Basalt
1831.5,2.24,36.25,19.43,724.01,Basalt
1832,2.3,33.65,23.11,648.94,Basalt
1832.5,2.36,30.53,29.68,541.29,Basalt
1833,2.39,28.53,37.53,431.35,Basalt
1833.5,2.38,29.36,43.67,353.99,Basalt
1834,2.33,31.88,46.94,325.71,Basalt
1834.5,2.3,33.21,48.82,335.61,Claystone
1835,2.34,31.46,51.08,357.82,Claystone
1835.5,2.43,26.67,52.36,375.09,Claystone
1836,2.56,20.25,50.88,386.67,Claystone
1836.5,2.67,14.33,47.56,394.27,Claystone
1837,2.74,10.5,44.87,396.9,Claystone
1837.5,2.78,8.74,42.67,393.43,Claystone
1838,2.79,8.19,38.88,387.52,Claystone
1838.5,2.8,7.46,32.96,382.35,Claystone
1839,2.85,5.36,27.24,378.69,Claystone
1839.5,2.91,2.23,23.23,375.5,Basalt
1845.5,2.94,0.46,13.94,697.02,Basalt
1846,2.89,3.22,14.94,764.16,Basalt
1846.5,2.82,6.5,16.15,832.06,Basalt
1847,2.74,10.75,17.3,904.58,Basalt
1847.5,2.66,14.67,17.96,976.31,Basalt
1848,2.61,17.28,17.79,1032.41,Basalt
1848.5,2.58,19.03,17.09,1056.16,Basalt
1849,2.55,20.61,16.42,1043.05,Basalt
1849.5,2.52,21.87,15.75,1002.28,Basalt
1850,2.52,22.06,14.79,947.22,Basalt
1850.5,2.54,21.09,13.6,889.74,Basalt
1851,2.57,19.63,12.73,837.51,Basalt
1851.5,2.6,18.04,12.53,792.95,Basalt
1852,2.63,16.06,12.82,750.78,Basalt
1852.5,2.69,13.45,13.17,701.65,Basalt
1853,2.75,10.43,13.42,644.91,Basalt
1853.5,2.8,7.61,13.96,589.17,Basalt
1854,2.84,5.4,14.7,546.54,Basalt
1854.5,2.87,4.11,15.19,520.37,Basalt
1855,2.88,3.71,14.92,507.49,Basalt
1855.5,2.87,4.09,14.16,501.74,Basalt
1856,2.85,4.89,13.33,499.23,Basalt
1856.5,2.84,5.54,12.42,500.06,Basalt
1857,2.84,5.64,11.49,506.74,Basalt
1857.5,2.84,5.65,11.08,525.16,Basalt
1858,2.82,6.53,11.59,560,Basalt
1858.5,2.79,8.37,12.56,614.48,Basalt
1859,2.75,10.35,13.33,686.68,Basalt
1859.5,2.71,12.45,13.63,772.42,Basalt
1860,2.63,16.23,14.02,865.65,Basalt
1860.5,2.54,21.19,14.62,958.31,Basalt
1861,2.46,24.93,15.3,1037.86,Basalt
1861.5,2.45,25.65,15.6,1089.96,Basalt
1862,2.48,24.03,15.18,1102.55,Basalt
1862.5,2.51,22.4,14.34,1073.71,Basalt
1863,2.49,23.36,13.58,1013.1,Basalt
1863.5,2.41,27.7,13.64,936.49,Basalt
1864,2.31,33.11,14.27,861.82,Basalt
1864.5,2.22,37.38,14.76,801.65,Basalt
1865,2.17,39.99,14.65,761.17,Basalt
1865.5,2.14,41.58,14.05,733.03,Basalt
1866,2.12,42.75,13.36,702.92,Basalt
1866.5,2.1,43.71,12.73,660.95,Basalt
1867,2.09,44.02,12.37,604.91,Basalt
1867.5,2.11,43.26,12.35,544.21,Basalt
1868,2.14,41.4,12.91,493.01,Basalt
1868.5,2.18,39.4,13.97,460.42,Basalt
1869,2.2,38.23,16.08,441.31,Basalt
1869.5,2.21,37.67,19.49,422.49,Basalt
1870,2.24,36.56,24.02,400.45,Basalt
1870.5,2.28,34.24,28.42,379.22,Basalt
1871,2.34,31.29,31.36,361.72,Basalt
1871.5,2.38,29.06,32.75,344.94,Basalt
1872,2.39,28.66,32.9,329.66,Basalt
1872.5,2.38,29.52,32.09,321.46,Basalt
1873,2.37,29.73,29.78,324.26,Basalt
1873.5,2.4,28.28,26.06,338.06,Basalt
1874,2.44,26.35,22.01,361.28,Basalt
1874.5,2.44,26,19.19,390.08,Basalt
1875,2.42,27.1,18.04,415.26,Basalt
1875.5,2.41,27.47,18.15,424.83,Basalt
1876,2.45,25.67,18.85,415.96,Basalt
1876.5,2.51,22.35,19.94,400.37,Basalt
1877,2.57,19.56,20.44,392.87,Basalt
1877.5,2.59,18.46,20.28,394.01,Claystone
1878,2.58,19.02,20.32,389.64,Claystone
1878.5,2.56,20,22.12,373.81,Claystone
1879,2.54,21.04,24.93,358.78,Claystone
1879.5,2.52,21.81,26.74,361.55,Claystone
1880,2.52,22.02,26.53,382.14,Claystone
1880.5,2.54,21.34,24.99,409.89,Claystone
1881,2.57,19.6,23.15,437.53,Claystone
1881.5,2.61,17.18,21.55,464.59,Claystone
1882,2.66,14.75,20.8,489.17,Claystone
1882.5,2.7,12.63,21.16,504,Claystone
1883,2.75,10.48,21.97,505.01,Basalt
1883.5,2.79,8.36,21.99,492.32,Basalt
1884,2.81,7.21,20.78,472.31,Basalt
1884.5,2.8,7.73,19.07,453.08,Basalt
1885,2.78,8.93,18.18,442.89,Basalt
1885.5,2.76,9.5,18.21,444.54,Basalt
1886,2.77,9.15,18.37,455.93,Basalt
1886.5,2.78,8.82,17.48,473.27,Basalt
1887,2.77,9.25,15.8,495.56,Basalt
1887.5,2.75,10.32,13.99,521.69,Basalt
1888,2.73,11.08,12.71,549.1,Basalt
1888.5,2.74,10.74,12.1,573.56,Basalt
1889,2.77,9.09,12.19,592.74,Basalt
1889.5,2.82,6.53,12.65,605.98,Basalt
1890,2.87,4.01,13.14,612.95,Basalt
1890.5,2.9,2.38,13.73,616.03,Basalt
1891,2.92,1.55,14.38,619.62,Basalt
1891.5,2.93,0.71,14.79,628.7,Basalt
1894,2.92,1.74,12.11,654.73,Basalt
1894.5,2.88,3.45,11.84,653.65,Basalt
1895,2.88,3.88,12.55,655.19,Basalt
1895.5,2.88,3.75,13.4,657.96,Basalt
1896,2.88,3.6,13.8,661.21,Basalt
1896.5,2.88,3.62,13.38,666,Basalt
1897,2.89,3.25,12.62,671.58,Basalt
1897.5,2.91,2.23,11.65,678.89,Basalt
1898,2.94,0.77,11.1,686.96,Basalt
1900,2.94,0.47,10.46,686.31,Basalt
1900.5,2.91,1.86,10.07,695.1,Basalt
1901,2.88,3.31,10.52,715.23,Basalt
1901.5,2.87,3.95,11.64,737.99,Basalt
1902,2.87,3.95,12.68,753.41,Basalt
1902.5,2.87,3.92,13.25,758.11,Basalt
1903,2.87,4.17,13.5,751.84,Basalt
1903.5,2.88,3.7,13.66,737.62,Basalt
1904,2.9,2.48,13.8,721.56,Basalt
1904.5,2.92,1.55,13.7,712.34,Basalt
1905,2.92,1.59,12.99,716.87,Basalt
1905.5,2.91,2,12.12,733.65,Basalt
1906,2.92,1.83,11.78,751.68,Basalt
1906.5,2.93,1.21,12.01,759.35,Basalt
1911.5,2.93,0.72,12.2,909.59,Basalt
1912,2.91,1.85,12.54,959.76,Basalt
1912.5,2.9,2.65,13.37,1006.92,Basalt
1913,2.89,2.98,14.32,1050.08,Basalt
1913.5,2.88,3.4,14.88,1094.52,Basalt
1914,2.87,3.99,14.85,1138.27,Basalt
1914.5,2.86,4.56,14.4,1165.89,Basalt
1915,2.86,4.58,13.9,1160.31,Basalt
1915.5,2.88,3.71,13.46,1119.21,Basalt
1916,2.91,2.1,13.09,1053.18,Basalt
1916.5,2.94,0.24,12.56,978.72,Basalt
1918.5,2.94,0.48,13.73,813.02,Basalt
1919,2.91,2.09,13.42,815.43,Basalt
1919.5,2.89,2.9,12.64,827,Basalt
1920,2.9,2.48,12.17,844.58,Basalt
1920.5,2.93,0.98,12.27,860.42,Basalt
1923,2.86,4.42,12.85,886.9,Basalt
1923.5,2.8,7.88,12.21,887.32,Basalt
1924,2.77,9.3,12.31,881.88,Basalt
1924.5,2.76,9.68,12.45,878.24,Basalt
1925,2.76,9.84,12.16,876.6,Basalt
1925.5,2.77,9.14,11.58,868.62,Basalt
1926,2.81,7.04,11.36,851.43,Basalt
1926.5,2.87,3.9,11.84,832.82,Basalt
1927,2.93,0.93,12.37,821.96,Basalt
1929.5,2.92,1.21,15.04,625.94,Basalt
1930,2.89,2.99,14.98,576.6,Basalt
1930.5,2.88,3.33,14.6,564.55,Basalt
1931,2.89,2.86,14.14,575.29,Basalt
1931.5,2.9,2.37,13.57,593.71,Basalt
1932,2.91,2.17,13.3,619.06,Basalt
1932.5,2.91,2.25,13.44,652.13,Basalt
