Depth,GR, Temp,Pressure,Rd,Rs,Vp,Vs,INDEX
m,API,C,Mpa,Ohmm,Ohmm,m/s,m/s,Rock types
738.64,17.1877,14.8594,6.43908,211.12,127.847,-999.25,-999.25,Basalt
738.74,16.5223,14.8595,6.44005,145.82,99.5139,-999.25,-999.25,Basalt
738.84,15.9886,14.8597,6.441,112.123,91.7498,-999.25,-999.25,Basalt
738.94,15.5445,14.8601,6.44189,104.131,96.5834,-999.25,-999.25,Basalt
739.04,15.1625,14.8604,6.44287,109.417,108.512,-999.25,-999.25,Basalt
739.14,14.8623,14.8609,6.44379,116.189,118.231,-999.25,-999.25,Basalt
739.24,14.707,14.8614,6.44471,116.702,117.473,-999.25,-999.25,Basalt
739.34,14.8206,14.8619,6.44565,110.18,109.362,-999.25,-999.25,Basalt
739.44,15.206,14.8622,6.44663,104.589,104.911,-999.25,-999.25,Basalt
739.54,15.8461,14.8624,6.44756,112.535,111.945,-999.25,-999.25,Basalt
739.64,16.7349,14.8625,6.44849,142.372,131.129,-999.25,-999.25,Basalt
739.74,17.5975,14.8625,6.44939,187.692,158.266,-999.25,-999.25,Basalt
739.84,18.0264,14.8625,6.45035,225.108,183.331,-999.25,-999.25,Basalt
739.94,17.8398,14.8625,6.45123,230.417,192.341,-999.25,-999.25,Basalt
740.04,17.1661,14.8625,6.45221,201.519,179.481,-999.25,-999.25,Basalt
740.14,16.3299,14.8625,6.45314,159.869,155.114,-999.25,-999.25,Basalt
740.24,15.598,14.8625,6.45401,128.974,136.647,-999.25,-999.25,Basalt
740.34,15.0695,14.8626,6.45494,115.541,131.997,-999.25,-999.25,Basalt
740.44,14.7537,14.8627,6.45584,112.916,136.536,-999.25,-999.25,Basalt
740.54,14.6354,14.8628,6.45679,114.415,143.77,-999.25,-999.25,Basalt
740.64,14.742,14.8629,6.45774,118.712,152.362,-999.25,-999.25,Basalt
740.74,15.0882,14.863,6.45865,126.862,163.091,-999.25,-999.25,Basalt
740.84,15.6379,14.863,6.45962,140.99,176.94,-999.25,-999.25,Basalt
740.94,16.282,14.863,6.46053,166.838,201.604,-999.25,-999.25,Basalt
741.04,16.8001,14.863,6.46153,216.755,255.513,-999.25,-999.25,Basalt
741.14,17.0301,14.863,6.46248,301.186,350.271,-999.25,-999.25,Basalt
741.24,17.023,14.863,6.46342,406.301,462.581,-999.25,-999.25,Basalt
