Depth,GR,TEMP1,TEMP2,P,Rmud,Rd,Rs,Th,U,K,Vp,Vs,Vw,INDEX
m,API,C,C,MPa,Ohmm,Ohmm,Ohmm,ppm,ppm,%,m/s,m/s,m/s,Rock types
1292.4,16.9762,100.916,100.93,11.619,1.62014,25.9394,27.7495,3.42349,0.90828,0.2298,5234.77,2975.33,1308.03,Basalt
1292.5,17.2098,100.923,100.93,11.62,1.61981,23.649,26.0798,3.55892,0.87482,0.23518,5234.77,2996.08,1308.69,Basalt
1292.6,17.1102,100.931,100.943,11.6209,1.61956,22.9092,26.4549,3.59503,0.81646,0.24219,5245.42,2997.82,1308.69,Basalt
1292.7,16.961,100.939,100.943,11.6218,1.61998,23.9088,28.6286,3.72866,0.6514,0.2558,5213.6,2985.67,1306.7,Basalt
1292.8,17.0759,100.947,100.943,11.6228,1.61973,25.7867,31.3919,4.02175,0.40191,0.26658,5187.37,2966.77,1303.4,Basalt
1292.9,17.492,100.954,100.956,11.6237,1.6194,27.6095,33.8343,4.35531,0.17852,0.26185,5156.25,2951.49,1301.75,Basalt
1293,17.9917,100.959,100.956,11.6247,1.61932,29.2732,36.0837,4.52677,0.08893,0.24247,5151.1,2943.06,1297.5,Basalt
1293.1,18.3054,100.964,100.97,11.6256,1.61915,31.1095,38.5772,4.41018,0.15654,0.22742,5135.71,2929.69,1301.75,Basalt
1293.2,18.2135,100.97,100.97,11.6266,1.61887,32.9362,41.0405,4.04615,0.31082,0.24082,5095.11,2908.21,1301.1,Basalt
1293.3,17.6532,100.976,100.983,11.6275,1.61895,34.3053,42.9238,3.54002,0.46414,0.29329,5030.49,2856.65,1302.74,Basalt
1293.4,16.8299,100.981,100.996,11.6285,1.61899,35.2165,44.2251,3.00799,0.5536,0.37992,4986.7,2816.08,1301.1,Basalt
1293.5,15.9822,100.985,100.996,11.6295,1.6187,35.9444,45.3407,2.501,0.58802,0.48131,4972.28,2799.27,1296.84,Basalt
1293.6,15.2506,100.99,101.01,11.6304,1.61874,36.7332,46.8154,2.06205,0.60462,0.57194,4977.08,2785.66,1296.84,Basalt
1293.7,14.7318,100.996,101.01,11.6313,1.61858,38.4429,49.88,1.81664,0.60736,0.63163,4972.28,2785.66,1296.84,Basalt
1293.8,14.528,101.003,101.023,11.6322,1.61865,42.4582,55.7458,1.84041,0.59341,0.65262,4957.93,2787.16,1294.56,Basalt
1293.9,14.6905,101.01,101.023,11.6332,1.61841,48.6345,63.1409,2.09795,0.5942,0.62874,4977.07,2788.67,1293.91,Basalt
1294,15.1927,101.016,101.036,11.6342,1.61833,53.841,67.6558,2.4367,0.70914,0.54326,4981.88,2790.18,1294.56,Basalt
1294.1,15.9374,101.021,101.036,11.6351,1.61809,54.2561,65.4869,2.60957,1.0282,0.39531,4972.28,2790.18,1294.24,Basalt
1294.2,16.7667,101.025,101.05,11.636,1.61781,49.328,57.6504,2.44842,1.55647,0.20789,4972.28,2787.16,1290.03,Basalt
1294.3,17.5852,101.03,101.05,11.637,1.61789,42.4315,49.1649,1.98831,2.16999,0.03003,4967.49,2784.15,1290.35,Basalt
