Depth,Gamma,Temp_1,Temp_2,P,Rmud,Rs,Rd,Th,U,K,Vs,Vp,INDEX
m,API,C,C,Mpa,Ohmm,Ohmm,Ohmm,ppm,ppm,%,m/s,m/s,Rock types
11.275,15.984,28.4924,-999.25,-999.25,-999.25,-999.25,-999.25,2.09515,0.519868,0.41059,-999.25,-999.25,Basalt
11.375,16.169,28.4924,-999.25,-999.25,-999.25,-999.25,-999.25,2.40883,0.446478,0.405532,-999.25,-999.25,Basalt
11.475,16.4254,28.4924,-999.25,-999.25,-999.25,-999.25,-999.25,2.53434,0.479718,0.37841,-999.25,-999.25,Basalt
11.575,16.6026,28.4924,-999.25,-999.25,-999.25,-999.25,-999.25,2.30577,0.627154,0.347072,-999.25,-999.25,Basalt
11.675,16.5686,28.4924,-999.25,-999.25,-999.25,-999.25,-999.25,1.76385,0.834321,0.331826,-999.25,-999.25,Basalt
11.775,16.2744,28.4924,-999.25,-999.25,-999.25,-999.25,-999.25,1.13087,1.03022,0.337248,-999.25,-999.25,Basalt
11.875,15.7673,28.4924,-999.25,-999.25,-999.25,-999.25,-999.25,0.662879,1.1801,0.346337,-999.25,-999.25,Basalt
11.975,15.1657,28.4924,-999.25,-999.25,-999.25,-999.25,-999.25,0.492403,1.28351,0.337763,-999.25,-999.25,Basalt
12.075,14.5507,28.4924,-999.25,-999.25,-999.25,-999.25,-999.25,0.569131,1.37178,0.300294,-999.25,-999.25,Basalt
12.175,14.0131,28.4924,-999.25,-999.25,-999.25,-999.25,-999.25,0.724661,1.47357,0.242162,-999.25,-999.25,Basalt
12.275,13.723,28.4924,-999.25,-999.25,-999.25,-999.25,-999.25,0.822064,1.58274,0.183052,-999.25,-999.25,Basalt
12.375,13.7801,28.4924,-999.25,-999.25,-999.25,-999.25,-999.25,0.878918,1.63107,0.147883,-999.25,-999.25,Basalt
12.475,14.1759,28.4923,-999.25,-999.25,-999.25,-999.25,-999.25,0.98515,1.56613,0.145591,-999.25,-999.25,Basalt
12.575,14.7976,28.4771,-999.25,-999.25,-999.25,-999.25,-999.25,1.19422,1.39491,0.168951,-999.25,-999.25,Basalt
12.675,15.4563,28.4771,-999.25,-999.25,-999.25,-999.25,-999.25,1.46565,1.17285,0.205616,-999.25,-999.25,Basalt
12.775,15.9489,28.4771,-999.25,-999.25,-999.25,-999.25,-999.25,1.7005,0.980402,0.239158,-999.25,-999.25,Basalt
